actor,awards,country,director,genre,language,metascore,plot,poster,rated,released,response,runtime,title,type,writer,year,imdb_id,imdb_votes,rating_imdb,rating_rotten,rating_metacritic
"Lucille Ball, Henry Fonda, Van Johnson, Louise Troy",Nominated for 2 Golden Globes. Another 2 wins & 2 nominations.,USA,Melville Shavelson,"Comedy, Family","English, French, Cantonese, Japanese",N/A,"A widower with ten children falls for a widow with eight, and they must decide about forming a huge, unconventional family.",https://m.media-amazon.com/images/M/MV5BOTlhNzYyNzctNmYwOS00OGE3LTgyZWQtYzJkNmEzZGY3NjNjXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,Unrated,24 Apr 1968,True,111 min,"Yours, Mine and Ours",movie,"Bob Carroll Jr. (story), Madelyn Davis (story), Mort Lachman, Melville Shavelson",1968,tt0063829,"7,488",7.2/10,50%,
"Jake Gyllenhaal, Mark Ruffalo, Anthony Edwards, Robert Downey Jr.",4 wins & 72 nominations.,USA,David Fincher,"Crime, Drama, Mystery, Thriller",English,78,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",https://m.media-amazon.com/images/M/MV5BN2UwNDc5NmEtNjVjZS00OTI5LWE5YjctMWM3ZjBiZGYwMGI2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,R,02 Mar 2007,True,157 min,Zodiac,movie,"James Vanderbilt (screenplay), Robert Graysmith (book)",2007,tt0443706,"449,344",7.7/10,89%,78/100
"Mark Hamill, Josh Keaton, Phil LaMarr, Candi Milo",1 nomination.,N/A,N/A,"Animation, Action, Fantasy",N/A,N/A,"Now the Blue Sky King, Darel must lead a rescue mission to save a Dream Walker -- leaving the village under the protection of the Kulipari youth.",https://m.media-amazon.com/images/M/MV5BZmNkZjJmODMtNGEzMy00OTYxLWIxYTAtMGY1YjFhMjVhNjJlXkEyXkFqcGdeQXVyMjQ0NzgwMTg@._V1_SX300.jpg,N/A,20 Nov 2018,True,N/A,Kulipari: Dream Walker,series,N/A,2018–,tt9203064,57,7.3/10,,
"Diedrich Bader, Oakley Bull, Tyreese Burnett, Chloe Coleman",2 nominations.,USA,Robert Vince,Family,English,N/A,"A song-filled new Air Bud 'Pup Star' movie that introduces four new pups to the family, who stow away on Santa's sleigh and find themselves trapped at the North Pole, trying to save the world's Christmas spirit.",https://m.media-amazon.com/images/M/MV5BM2NkODhiYjktYjdkZi00MGQ2LTljMDAtZTA1ZGYwMWMzZDc3XkEyXkFqcGdeQXVyMDQ0MDI4OA@@._V1_SX300.jpg,PG,20 Nov 2018,True,91 min,Puppy Star Christmas,movie,"Robert Vince, Piers Rae",2018,tt8861786,175,4.0/10,43%,
"Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden",Won 1 Oscar. Another 5 wins & 8 nominations.,USA,Billy Wilder,"Comedy, Drama, Romance","English, French",72,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Passed,15 Oct 1954,True,113 min,Sabrina,movie,"Billy Wilder (written for the screen by), Samuel A. Taylor (written for the screen by), Ernest Lehman (written for the screen by), Samuel A. Taylor (from the play by)",1954,tt0047437,"58,114",7.7/10,92%,72/100
"Gene Hackman, Brad Williams, Matt Dillon, Gayle Hunnicutt",N/A,USA,Arthur Penn,"Action, Adventure, Crime, Drama, Mystery, Thriller","English, French, German",53,"When American Donna Lloyd is kidnapped during a trip to Europe, her son Chris and her husband Walter start searching for her.",https://m.media-amazon.com/images/M/MV5BZjk5Njk4NTEtYTNjYy00MTljLWI2Y2ItNGUwMTJlODgxZjllXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,R,08 Nov 1985,True,117 min,Target,movie,"Howard Berk, Don Petersen, Leonard Stern (story)",1985,tt0090130,"3,839",6.0/10,71%,53/100
Andrew Knowlton,1 win.,USA,N/A,Reality-TV,English,N/A,Teams of chefs vie to impress some of the world's toughest palates as they whip up iconic dishes from different nations in this reality cooking competition.,https://m.media-amazon.com/images/M/MV5BNjI0MDIwNTMyNV5BMl5BanBnXkFtZTgwODUzMjg1NjM@._V1_SX300.jpg,TV-PG,N/A,True,60 min,The Final Table,series,N/A,2018–,tt7619858,"2,859",7.7/10,,
Trevor Noah,2 nominations.,USA,David Paul Meyer,Comedy,"English, Xhosa",N/A,Noah's South African roots and upbringing merge into his recent American experience making for funny and human juxtapositions and observations.,https://m.media-amazon.com/images/M/MV5BMTU4MTA5NjMyNl5BMl5BanBnXkFtZTgwNDY0OTI4NjM@._V1_SX300.jpg,TV-MA,20 Nov 2018,True,63 min,Trevor Noah: Son of Patricia,movie,Trevor Noah,2018,tt9170648,"3,171",7.3/10,67%,
"Isabela Merced, Jaheem Toombs, Owen Joyner, Jack De Sena",4 wins & 1 nomination.,USA,N/A,"Comedy, Family",English,N/A,"Follows three best friends as they navigate the highs and lows of middle school, with the help of a list of adventures that help them overcome class cliques, terrifying bullies and clueless teachers.",https://m.media-amazon.com/images/M/MV5BMjA3NDMwNDk5N15BMl5BanBnXkFtZTgwMzU1MDQ0MzE@._V1_SX300.jpg,TV-G,11 Nov 2014,True,30 min,100 Things to Do Before High School,series,Scott Fellows,2014–2016,tt3904078,884,6.1/10,,
"Tara Strong, Teryl Rothery, Daniella Monet, Drake Bell",N/A,USA,Savage Steve Holland,"Animation, Comedy, Family, Fantasy",English,N/A,"In the third live action movie based on The Fairly Oddparents series, Timmy Turner and his friends head to Hawaii!",https://m.media-amazon.com/images/M/MV5BNTYzODkwNTE4NF5BMl5BanBnXkFtZTgwNTk1NDc4MjE@._V1_SX300.jpg,TV-G,02 Aug 2014,True,68 min,A Fairly Odd Summer,movie,Butch Hartman,2014,tt3149536,398,3.9/10,31%,
"Brec Bassinger, Coy Stewart, Jackie Radinsky, Buddy Handleson",4 wins & 6 nominations.,USA,N/A,"Comedy, Family, Sport",English,N/A,"Follows a perky head cheerleader named Bella whose life in Texas takes an unexpected twist when she becomes the new quarterback for her school team, the Bulldogs.",https://m.media-amazon.com/images/M/MV5BOTA0N2Y3Y2YtOGIyNi00ZGE1LTkyZTUtYTA5Zjk3NjAwZDY4XkEyXkFqcGdeQXVyNjgwMzM5MzM@._V1_SX300.jpg,TV-G,17 Jan 2015,True,30 min,Bella and the Bulldogs,series,"Jonathan Butler, Gabriel Garza",2015–2016,tt3596178,"1,344",5.2/10,,
"Kendall Schmidt, James Maslow, Carlos PenaVega, Logan Henderson",1 nomination.,"USA, Canada",Savage Steve Holland,Comedy,English,N/A,"The boys from Big Time Rush travel to London for their first international tour and accidentally get involved in a dangerous device capable of destroying the world. Features covers of Beatles' songs, as well as original tunes.",https://m.media-amazon.com/images/M/MV5BMjIzNTUzMDE3OF5BMl5BanBnXkFtZTcwNzYzMjgzOQ@@._V1_SX300.jpg,G,10 Mar 2012,True,68 min,Big Time Movie,movie,Scott Fellows,2012,tt2163203,"1,542",6.5/10,59%,
"Bruce Gleeson, Eddie Ritchard, Garry McDonald, Bailee Madison",4 nominations.,"USA, Australia, Mexico",Troy Nixey,"Fantasy, Horror, Thriller",English,56,A young girl sent to live with her father and his new girlfriend believes that she has released creatures from a sealed ash pit in the basement of her new home.,https://m.media-amazon.com/images/M/MV5BMTYwMDk4ODU0OV5BMl5BanBnXkFtZTcwMDY2NDE0Ng@@._V1_SX300.jpg,R,26 Aug 2011,True,99 min,Don't Be Afraid of the Dark,movie,"Guillermo del Toro (screenplay), Matthew Robbins (screenplay), Nigel McKeand",2010,tt1270761,"46,396",5.6/10,60%,56/100
"Casey Simpson, Breanna Yde, Klarke Pipkin, AJ Rivera",3 wins & 3 nominations.,USA,Scott McAboy,Family,English,N/A,Can twelve 12-year-olds escape from the most ridiculously brilliant library ever created? Escape from Mr. Lemoncello's Library plunks a dozen sixth-graders into the middle of a futuristic ...,https://m.media-amazon.com/images/M/MV5BZGEyYTM4NGQtYzM2Ni00Mjc2LTg3ZWMtYWQ1MWE1MmVmN2M3XkEyXkFqcGdeQXVyOTY2MzE5Mg@@._V1_SX300.jpg,TV-G,09 Oct 2017,True,69 min,Escape from Mr. Lemoncello's Library,movie,"James Freeman, Chris Grabenstein (based on a book by), Brian Jarvis, Brian Jarvis, Alex J. Reid",2017,tt5878476,327,5.3/10,38%,
"Ciara Bravo, Jacob Bertrand, Elena Kampouris, Jack Griffo",1 nomination.,"USA, Canada",Stephen Herek,"Comedy, Family",English,N/A,"After a century-old curse of bad luck, a determined teen embarks on a journey to break her family's generational misfortune.",https://m.media-amazon.com/images/M/MV5BMTY4NjA0OTA5MF5BMl5BanBnXkFtZTgwOTIwMTY3MDE@._V1_SX300.jpg,G,29 Nov 2013,True,75 min,Jinxed,movie,"Neal Israel, Aury Wallington",2013,tt2934844,"1,140",6.5/10,,
"Kirk Fogg, Dee Bradley Baker",1 win & 1 nomination.,USA,N/A,"Adventure, Family, Game-Show",English,N/A,Six teams compete through a series of physical and mental challenges as it narrows down to only one team given the privilege to enter a mysterious temple in order to retrieve an artifact ...,https://m.media-amazon.com/images/M/MV5BMDU1OGZkOWUtODE0Ny00NTU1LWI4OGItMDIzYTZiNWY2YjEyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,TV-G,11 Sep 1993,True,30 min,Legends of the Hidden Temple,series,N/A,1993–1995,tt0310482,"2,610",8.1/10,,
"Rahart Adams, Brec Bassinger, Tiera Skovbye, Alex Zahara",N/A,USA,Vince Marcello,"Comedy, Family",English,N/A,"When Caitlyn, the most popular girl in school, mistakes new kid Davis for a vampire, he gains instant celebrity status. Davis enlists the help of his next-door neighbor, Vi, to dial up his vampire act. Together, will they fool the school?",https://m.media-amazon.com/images/M/MV5BNDU5OTA1ODE1OF5BMl5BanBnXkFtZTgwMzg5NjMwNzE@._V1_SX300.jpg,TV-G,12 Oct 2015,True,69 min,"Liar, Liar, Vampire",movie,Adrian Vina,2015,tt4448304,772,5.8/10,50%,
"Mike Rutzen, Jurgens Van Wyk, Morne Hardenberg, Hansa Winshaw",N/A,France,"Joe Kennedy, Ronette van der Walt",Documentary,English,N/A,Wildlife documentary following naturalist Mike Rutzen as he immerses himself in shark-infested waters around the world. Directors Joe Kennedy and Ronet van der Walt set out to prove that ...,N/A,N/A,N/A,True,N/A,Shark Night,movie,N/A,2010,tt1867055,114,3.2/10,,
"Victoria Justice, Chase Ellison, Anna Galvin, Matt Winston",1 win & 2 nominations.,"USA, Canada",Eric Bross,"Comedy, Family, Fantasy",English,N/A,"A Californian family inherits a castle in Romania. This is especially exciting to the son, who is obsessed with monsters. And he is not disappointed.",https://m.media-amazon.com/images/M/MV5BMjU1MmJlMTctY2FiMC00MmU1LWI5NmYtMDc5OWM0NjEzMmI2XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,TV-PG,22 Oct 2010,True,83 min,The Boy Who Cried Werewolf,movie,"Art Edler Brown, Douglas Sloan",2010,tt1451423,"2,715",6.0/10,66%,
"Garrett Ryan, Adam Hochstetter, Haley Tju, Brianne Tju",N/A,USA,Will Eisenberg,"Short, Comedy, Mystery",English,N/A,"When the ultimate prank sends their principal under water, it's up to Everett, Alyssa and Riley to put their super detective skills to the test, catch the perp, and save their school's first dance in 40 years.",https://m.media-amazon.com/images/M/MV5BN2I0ZmQwNjMtY2Q0NC00NDhiLThjODctNGQyYTQzMmM0NjliXkEyXkFqcGdeQXVyMTc4MjYzNDg@._V1_SX300.jpg,N/A,01 Aug 2015,True,39 min,The Massively Mixed-Up Middle School Mystery,movie,"Aaron Eisenberg (creator), Aaron Eisenberg, Will Eisenberg (creator), Will Eisenberg",2015,tt3521770,54,7.4/10,,
"Ana Caetano, Vitória Falcão, Clarissa Müller, Thati Lopes",N/A,Brazil,Matheus Souza,"Biography, Comedy, Music, Musical, Romance",Portuguese,N/A,"Two girls have a chance encounter and instantly befriend. While trying to find themselves, they decide to pursue music together.",https://m.media-amazon.com/images/M/MV5BZDVmMzMyZGUtYTY1Zi00YjBlLTg2NjYtYWZmNTQ3MzQyMDdkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,02 Aug 2018,True,115 min,Ana e Vitória,movie,Matheus Souza,2018,tt8583378,466,6.6/10,,
"Sahana Srinivasan, Alie Ward, Gary T. Carlin",N/A,N/A,N/A,"Documentary, Family",N/A,N/A,Educational series that introduces a number of scientific topics to young audiences.,https://m.media-amazon.com/images/M/MV5BM2IwNmE1NDQtYWEzZC00YzU1LWE3MDctNjcwODg1ODlkNjViXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,02 Nov 2018,True,30 min,Brainchild,series,Adam 'Tex' Davis,2018–,tt9203042,251,7.9/10,,
"Johnny Cash, Richard Nixon, Aram Bakshian, Pat Buchanan",1 nomination.,USA,"Sara Dosa, Barbara Kopple","Documentary, Biography",English,N/A,"Concerned by a rising rock-n-roll influence on a growing liberal fanbase, President Nixon invited Johnny Cash to the White House to solidify his base in the traditionally more conservative ...",https://m.media-amazon.com/images/M/MV5BZWI0M2YxNmQtODExMC00NzZjLWI3ZjAtZmQyYWRlMmRmNzVlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,N/A,True,59 min,ReMastered: Tricky Dick and the Man in Black,movie,"Jeff Zimbalist (created by), Michael Zimbalist (created by)",2018,tt9046556,"1,062",7.2/10,67%,
"Kat Graham, Quincy Brown, Ethan Peck, Ron Cephas Jones",N/A,USA,Bradley Walsh,"Drama, Fantasy, Romance",English,N/A,"A struggling but talented photographer inherits an antique holiday advent calendar, the contents of which seem to predict the future. Will this magical calendar lead her to love this holiday season?",https://m.media-amazon.com/images/M/MV5BY2ZhYWRlMWYtMDA2YS00ZDQ5LWFmMzctZjg2ZDAwOThmNmJjXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_SX300.jpg,TV-PG,02 Nov 2018,True,95 min,The Holiday Calendar,movie,Amyn Kaderali,2018,tt8262802,"7,197",5.7/10,33%,
Kenneth Won,N/A,Thailand,N/A,"Crime, Drama",Thai,N/A,N/A,https://m.media-amazon.com/images/M/MV5BOWIxMTgzMGItYWFhYi00MjE0LWI4NzAtNTg2OGNiMzdiOTVmXkEyXkFqcGdeQXVyODUyNTY2NjE@._V1_SX300.jpg,N/A,N/A,True,47 min,The Judgement,series,N/A,2018–,tt8866904,N/A,,,
"John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg",6 wins & 9 nominations.,"France, Iran, USA",Orson Welles,Drama,"English, German",78,A Hollywood director emerges from semi-exile with plans to complete work on an innovative motion picture.,https://m.media-amazon.com/images/M/MV5BNDg5NTQ0NDU1Nl5BMl5BanBnXkFtZTgwMTExNzIyNjM@._V1_SX300.jpg,R,02 Nov 2018,True,122 min,The Other Side of the Wind,movie,"Orson Welles, Oja Kodar",2018,tt0069049,"5,960",6.8/10,84%,78/100
Lorraine Ashbourne,1 win & 4 nominations.,"UK, Australia, Canada, USA",Stephen Hopkins,"Crime, Drama, Mystery, Thriller",English,N/A,DI Tom Thorne's only key to catching a serial killer is a survivor unable to move or communicate.,https://m.media-amazon.com/images/M/MV5BZWNjMWIyNDMtYTE2ZC00MmFjLThmNTYtMThkZTYyMjc4ZjRkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,N/A,10 Oct 2010,True,44 min,Thorne: Sleepyhead,series,"Dudi Appleton (screenplay), Mark Billingham (novel), Jim Keeble (screenplay)",2010,tt1610518,"2,657",6.8/10,41%,
"Darren Capozzi, Iliza Shlesinger",N/A,USA,Steve Paley,Comedy,English,N/A,"Iliza Shelsinger in her fifth Netflix stand-up special, discussing marriage and its traditions.",https://m.media-amazon.com/images/M/MV5BNWY1NGRhMjctMTFjNi00N2QyLTk0NTEtZWM4Yzg5ZTc0OWUyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,TV-MA,19 Nov 2019,True,78 min,Iliza Shlesinger: Unveiled,movie,Iliza Shlesinger,2019,tt11163008,"1,216",6.5/10,,
Edwin Salinas,N/A,Argentina,N/A,Reality-TV,Spanish,N/A,"The story of Argentinian fashion designer Santiago Artemis. Extravagant and unique, how he became who he is.",https://m.media-amazon.com/images/M/MV5BNTA5MjNlMTktYzk4My00MDI5LWJkNmEtZThjYWQ1Y2QzMzAwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,19 Nov 2019,True,N/A,No Time for Shame,series,N/A,2019–,tt11215130,57,5.4/10,,
Donald Glover,N/A,USA,Shannon Hartman,Comedy,English,N/A,"With his unique brand of youthful storytelling Donald Glover brings down the house in his hysterical stand-up special, Weirdo.",https://m.media-amazon.com/images/M/MV5BMTY0Mzk0NTI5N15BMl5BanBnXkFtZTgwODY0NDAxMzE@._V1_SX300.jpg,Not Rated,18 Jan 2012,True,65 min,Donald Glover: Weirdo,movie,Donald Glover,2012,tt2345525,"2,537",7.5/10,,
"Stacy Keach, John Lasseter, Brad Bird, John Musker",Nominated for 1 Primetime Emmy. Another 1 nomination.,USA,Leslie Iwerks,Documentary,English,N/A,"A look at the first years of Pixar Animation Studios - from the success of ""Toy Story"" and Pixar's promotion of talented people, to the building of its East Bay campus, the company's ...",https://m.media-amazon.com/images/M/MV5BMTIwMDQxOTQyMF5BMl5BanBnXkFtZTcwNDI5MTU1MQ@@._V1_SX300.jpg,G,28 Aug 2007,True,87 min,The Pixar Story,movie,Leslie Iwerks,2007,tt1059955,"5,813",7.8/10,86%,
"Rae-won Kim, Suk-kyu Han, Kyeong-yeong Lee, Seong-gyoon Kim",1 win & 3 nominations.,South Korea,Hyeon Na,"Action, Crime",Korean,N/A,A troubled ex-cop imprisoned for a hit-and-run accident discovers that the entire penitentiary is controlled by an inmate who has been running a crime syndicate with the help of the warden and guards which provides them 100% alibi.,https://m.media-amazon.com/images/M/MV5BODc1NWY2NTMtNWQ3MC00YWQ2LWEwNzEtYmI2YmY0OGZjMDIxXkEyXkFqcGdeQXVyNDIwOTAzMDM@._V1_SX300.jpg,Not Rated,31 Mar 2017,True,125 min,The Prison,movie,Hyeon Na,2017,tt6589464,"1,546",6.5/10,73%,
Colin Quinn,N/A,USA,Jerry Seinfeld,Comedy,English,N/A,Colin Quinn discusses the origins of New York and how it got its unique personality.,https://m.media-amazon.com/images/M/MV5BNDljMDQ1YzQtN2YwNS00NzA0LTgwNjYtMjhiMzgyMTUyYWRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjMyMTk2NzE@._V1_SX300.jpg,N/A,18 Nov 2016,True,62 min,Colin Quinn: The New York Story,movie,Colin Quinn,2016,tt6257714,847,6.7/10,,
"Oulaya Amamra, Déborah Lukumuena, Kevin Mischel, Jisca Kalvanda",Nominated for 1 Golden Globe. Another 14 wins & 11 nominations.,"France, Qatar",Houda Benyamina,"Crime, Drama",French,71,A street teenager from a dysfunctional family from a banlieue (HLMs) in Paris comes across a young dancer who turns her life upside down.,https://m.media-amazon.com/images/M/MV5BYTE2NDk1YjktNWE0My00NTcwLTg0MTItYmI2YjFkMmRmMzBmXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,N/A,18 Nov 2016,True,105 min,Divines,movie,"Houda Benyamina (adaptation), Houda Benyamina (dialogue), Houda Benyamina (screenplay), Romain Compingt (adaptation), Romain Compingt (dialogue), Romain Compingt (screenplay), Malik Rumeau (screenplay)",2016,tt4730986,"8,435",7.4/10,83%,71/100
"Ana María Estupiñán, Sebastian Eslava, Laura Archbold, Martha Restrepo",6 wins & 1 nomination.,Colombia,N/A,Drama,Spanish,N/A,"A young woman who was part of the guerrilla seeking a better life in the city, she wants to study medicine, which will be a difficult wish to fulfill, since being part of groups outside the law always leaves consequences .",https://m.media-amazon.com/images/M/MV5BNWFiOTgxYTEtNGU2My00ZWRlLWFlZjQtZWRhOWNkODYyMWY2XkEyXkFqcGdeQXVyMzM0NTc2MTE@._V1_SX300.jpg,TV-MA,N/A,True,N/A,La niña,series,N/A,2016–,tt5677942,535,8.6/10,,
"Laurent Ponsot, Jay McInerney, Jefery Levy, Maureen Downey",2 wins.,UK,"Reuben Atlas, Jerry Rothwell",Documentary,English,N/A,Documentary about the fine and rare wine auction market centering around a counterfeiter who befriended the rich and powerful and sold millions of dollars of fraudulent wine through the top auction houses.,https://m.media-amazon.com/images/M/MV5BMDNhZmI1ZDUtZDg5ZS00MmE1LWIzNWYtNGZiZjVkNTU5ZTI2XkEyXkFqcGdeQXVyNjA5NDU0Njk@._V1_SX300.jpg,TV-14,16 Sep 2016,True,85 min,Sour Grapes,movie,N/A,2016,tt5728684,"4,387",7.2/10,96%,
"Victoria Justice, Pierson Fode, Matthew Daddario, Ryan Ward",N/A,USA,Kristin Hanggi,"Comedy, Drama, Romance","English, Spanish",N/A,"Naomi and Ely have loved each other their whole lives, even though Ely isn't exactly into girls. The institution of a ""No Kiss List"" has prevented the two from rifts in the past, but bonds are tested when they both fall for the same guy.",https://m.media-amazon.com/images/M/MV5BMTQ4MTQwNDg1NV5BMl5BanBnXkFtZTgwMjM3NDk2NjE@._V1_SX300.jpg,Not Rated,18 Sep 2015,True,89 min,Naomi and Ely's No Kiss List,movie,"Rachel Cohn (novel), David Levithan (novel), Amy Andelson (screenplay), Emily Meyer (screenplay), Emily Meyer, Amy Andelson",2015,tt3282858,"9,247",5.5/10,38%,
"Corey Feldman, Mark Alan, Tony Todd, Erin Way",N/A,USA,N/A,Horror,English,N/A,"After self righteous rockstar Jonny Splatter puts a bullet in his own head, only five people are chosen to attend the reading of Splatter's will. The manager, the shrink, the guitarist, the...",https://m.media-amazon.com/images/M/MV5BMmQzMTgzY2EtOTVhOC00OWQ1LWFmOTItZTAyZWQ4ZGEwN2UxXkEyXkFqcGdeQXVyMzQwODQwNTg@._V1_SX300.jpg,TV-14,30 Oct 2009,True,29 min,Splatter,series,N/A,2009–,tt1576464,397,3.2/10,,
"Wan-Ru Zhan, Wen-Shan Chen, Cheng-Chun Chung, Yi-Pei He",N/A,Taiwan,N/A,N/A,Chinese,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTk2MWQwOTEtMjFjOS00NDY2LWE4NGEtZjZmZTBhYTc1ZGU4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,16 Nov 2019,True,N/A,Candy Online,series,N/A,2019,tt11330500,N/A,,,
"John Barrymore, Camilla Horn, Victor Varconi, Hobart Bosworth",N/A,USA,Ernst Lubitsch,"Drama, Romance",English,N/A,"In the Swiss Alps of the early 19th century, a couple forced into loveless marriages struggle to find happiness with one another.",https://m.media-amazon.com/images/M/MV5BYjUxZTUzM2ItNjZhYS00NThjLTkzYmMtMGM2MWMwOGEzZjgzXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,Not Rated,11 May 1929,True,71 min,Eternal Love,movie,"H.H. Caldwell (titles), Jakob Christoph Heer (novel), Katherine Hilliker (titles), Hanns Kräly (adaptation), Hanns Kräly (screenplay)",1929,tt0019852,412,6.9/10,67%,
"Claudia Di Girólamo, Juan Falcón, Felipe Ponce, Fernanda Urrejola",N/A,Chile,N/A,Drama,Spanish,N/A,"The life of Catalina de los Rios y Lisperguer, popularly known as ""The Quintrala"".",https://m.media-amazon.com/images/M/MV5BNGU3YmNjYmMtNTlhZS00NWU5LWI2ZWUtNzBjZTQyMmZiMjJjXkEyXkFqcGdeQXVyMTcxNTYyMjM@._V1_SX300.jpg,N/A,04 Oct 2011,True,30 min,La Doña,series,N/A,2011–2012,tt1948898,26,7.4/10,,
"Maritza Rodríguez, Marimar Vega, Valeria Menendez Rodriguez, Carlos Ponce",N/A,USA,N/A,"Comedy, Drama, Romance",Spanish,N/A,"A high society woman loses everything and has to move with her three daughters, and her mom to a middle-class neighborhood.",https://m.media-amazon.com/images/M/MV5BOTE0MTczYjktZmZhMC00ZmEyLTlmMmMtNTE4NDg5YmNhNjFkXkEyXkFqcGdeQXVyMjQ2MDQwNDU@._V1_SX300.jpg,TV-14,19 Jul 2016,True,60 min,Silvana Sin Lana,series,N/A,2016–,tt5663544,213,7.6/10,,
"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",N/A,USA,Alex Zamm,"Comedy, Family, Romance",English,N/A,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",https://m.media-amazon.com/images/M/MV5BNWMzZTE4NTYtOGRiNi00YzQ2LWJiNjctMzk1NDU4NmY5ZGQwXkEyXkFqcGdeQXVyODIyMzA4NDc@._V1_SX300.jpg,TV-PG,17 Nov 2017,True,92 min,A Christmas Prince,movie,"Karen Schaler, Nate Atkins",2017,tt7608418,"15,254",5.8/10,73%,
"Jim Carrey, Danny DeVito, Milos Forman, Peter Bonerz",Nominated for 1 Primetime Emmy. Another 3 wins & 6 nominations.,"USA, Canada",Chris Smith,Documentary,"English, East-Greenlandic",77,A behind-the-scenes look at how Jim Carrey adopted the persona of idiosyncratic comedian Andy Kaufman on the set of Man on the Moon (1999).,https://m.media-amazon.com/images/M/MV5BMjM3OTY1OTAxNl5BMl5BanBnXkFtZTgwMTI0MTUxNDM@._V1_SX300.jpg,TV-MA,17 Nov 2017,True,94 min,Jim & Andy: The Great Beyond,movie,N/A,2017,tt7214762,"22,586",7.7/10,94%,77/100
"Deepak Chachra, Smita Malhotra, Tarun Ratnani",N/A,India,Tilak Shetty,Animation,"Hindi, English",N/A,"In three tales about fear, a baby elephant gets captured by a circus, two boys enter a haunted house and a parrot faces his fear of flying.",https://m.media-amazon.com/images/M/MV5BYjlhYTJhODctZGY4Zi00NjQ0LTkyYzAtNDkwYmNlY2IwZTZlXkEyXkFqcGdeQXVyNTM3NDk5MTg@._V1_SX300.jpg,N/A,N/A,True,65 min,Krish Trish and Baltiboy: Face Your Fears,movie,Sreejoni Nag,2017,tt8672310,7,3.7/10,,
"Carey Mulligan, Jason Clarke, Mary J. Blige, Rob Morgan",Nominated for 4 Oscars. Another 35 wins & 113 nominations.,USA,Dee Rees,"Drama, War",English,85,"Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.",https://m.media-amazon.com/images/M/MV5BZTg3YTEzNjYtZTY2NS00YjNmLTlhNjUtZTI2M2E5NDI4M2NjXkEyXkFqcGdeQXVyMzI3MDEzMzM@._V1_SX300.jpg,R,17 Nov 2017,True,134 min,Mudbound,movie,"Virgil Williams (screenplay by), Dee Rees (screenplay by), Hillary Jordan (based on the novel by)",2017,tt2396589,"40,928",7.4/10,97%,85/100
"Ezra James Colbert, Nicola Lambo, John P. Fowler, Jordan Bielsky",N/A,USA,Glenn Miller,"Family, Fantasy",English,N/A,"Tommy leaves his kittens out for Santa to take back to the North Pole, but after a major allergic reaction Santa can't deliver presents anymore, so the kittens have to deliver the rest of the presents to all the boys and girls.",https://m.media-amazon.com/images/M/MV5BMTY1MTM2MTcxMl5BMl5BanBnXkFtZTgwODE0NTM0MjE@._V1_SX300.jpg,TV-PG,03 Dec 2015,True,86 min,Santa Claws,movie,Anna Rasmussen (screenplay),2014,tt3922810,662,3.2/10,21%,
